jinyu 20240902

wavelength (microns), Re(eps)
0.920452, 2.30408
0.918891, 2.30418
0.918621, 2.30419
0.917329, 2.30428
0.916339, 2.30434
0.915768, 2.30438
0.914206, 2.30448
0.914068, 2.30449
0.912644, 2.30459
0.911808, 2.30464
0.911082, 2.30469
0.90956, 2.30479
0.90952, 2.3048
0.907957, 2.3049
0.907323, 2.30494
0.906394, 2.30501
0.905096, 2.30509
0.904831, 2.30511
0.903268, 2.30522
0.902881, 2.30525
0.901704, 2.30533
0.900676, 2.3054
0.900141, 2.30543
0.898577, 2.30554
0.898482, 2.30555
0.897013, 2.30565
0.896299, 2.3057
0.895448, 2.30576
0.894126, 2.30585
0.893884, 2.30587
0.892319, 2.30598
0.891964, 2.306
0.890754, 2.30609
0.889813, 2.30615
0.889189, 2.3062
0.887671, 2.3063
0.887623, 2.30631
0.886058, 2.30642
0.88554, 2.30646
0.884492, 2.30653
0.883419, 2.30661
0.882926, 2.30664
0.88136, 2.30676
0.881309, 2.30676
0.879793, 2.30687
0.879208, 2.30691
0.878227, 2.30699
0.877117, 2.30707
0.87666, 2.3071
0.875093, 2.30722
0.875036, 2.30722
0.873526, 2.30733
0.872966, 2.30737
0.871958, 2.30745
0.870904, 2.30753
0.870391, 2.30756
0.868853, 2.30768
0.868823, 2.30768
0.867255, 2.3078
0.866811, 2.30783
0.865687, 2.30792
0.864779, 2.30799
0.864118, 2.30804
0.862756, 2.30814
0.86255, 2.30816
0.860981, 2.30828
0.860743, 2.30829
0.859412, 2.3084
0.858739, 2.30845
0.857843, 2.30852
0.856745, 2.3086
0.856273, 2.30864
0.854759, 2.30876
0.854704, 2.30876
0.853134, 2.30888
0.852783, 2.30891
0.851564, 2.30901
0.850816, 2.30907
0.849994, 2.30913
0.848858, 2.30922
0.848424, 2.30926
0.846909, 2.30938
0.846853, 2.30938
0.845282, 2.30951
0.844969, 2.30953
0.843711, 2.30963
0.843038, 2.30969
0.84214, 2.30976
0.841116, 2.30984
0.840569, 2.30989
0.839202, 2.31
0.838998, 2.31001
0.837426, 2.31014
0.837297, 2.31015
0.835854, 2.31027
0.835401, 2.31031
0.834282, 2.3104
0.833513, 2.31047
0.83271, 2.31053
0.831634, 2.31062
0.831138, 2.31066
0.829763, 2.31078
0.829565, 2.31079
0.827992, 2.31093
0.827901, 2.31093
0.82642, 2.31106
0.826047, 2.31109
0.824847, 2.31119
0.824201, 2.31125
0.823273, 2.31133
0.822363, 2.3114
0.8217, 2.31146
0.820534, 2.31156
0.820126, 2.3116
0.818713, 2.31172
0.818553, 2.31173
0.816979, 2.31187
0.816899, 2.31188
0.815405, 2.31201
0.815094, 2.31203
0.81383, 2.31214
0.813297, 2.31219
0.812256, 2.31228
0.811508, 2.31235
0.810681, 2.31242
0.809726, 2.31251
0.809106, 2.31256
0.807953, 2.31266
0.807531, 2.3127
0.806187, 2.31282
0.805956, 2.31284
0.804429, 2.31298
0.804381, 2.31298
0.802806, 2.31312
0.802678, 2.31314
0.80123, 2.31327
0.800935, 2.31329
0.799654, 2.31341
0.7992, 2.31345
0.798078, 2.31356
0.797472, 2.31361
0.796502, 2.3137
0.795752, 2.31377
0.794926, 2.31385
0.794039, 2.31393
0.793349, 2.31399
0.792333, 2.31409
0.791773, 2.31414
0.790635, 2.31425
0.790196, 2.31429
0.788944, 2.3144
0.788619, 2.31443
0.78726, 2.31456
0.787042, 2.31458
0.785583, 2.31472
0.785465, 2.31473
0.783914, 2.31488
0.783887, 2.31488
0.78231, 2.31503
0.782251, 2.31504
0.780732, 2.31519
0.780596, 2.3152
0.779154, 2.31534
0.778947, 2.31536
0.777576, 2.31549
0.777306, 2.31552
0.775998, 2.31565
0.775671, 2.31568
0.77442, 2.3158
0.774044, 2.31584
0.772841, 2.31596
0.772423, 2.316
0.771262, 2.31611
0.770809, 2.31616
0.769684, 2.31627
0.769201, 2.31632
0.768105, 2.31643
0.7676, 2.31648
0.766526, 2.31658
0.766006, 2.31664
0.764946, 2.31674
0.764419, 2.3168
0.763367, 2.3169
0.762838, 2.31696
0.761787, 2.31706
0.761264, 2.31712
0.760208, 2.31722
0.759696, 2.31728
0.758628, 2.31739
0.758134, 2.31744
0.757048, 2.31755
0.756579, 2.3176
0.755468, 2.31771
0.755031, 2.31776
0.753888, 2.31788
0.753488, 2.31792
0.752307, 2.31804
0.751952, 2.31808
0.750727, 2.31821
0.750423, 2.31824
0.749146, 2.31837
0.748899, 2.3184
0.747565, 2.31854
0.747382, 2.31856
0.745984, 2.31871
0.74587, 2.31872
0.744403, 2.31888
0.744365, 2.31888
0.742866, 2.31904
0.742822, 2.31905
0.741373, 2.3192
0.741241, 2.31922
0.739886, 2.31936
0.739659, 2.31939
0.738405, 2.31953
0.738077, 2.31956
0.736929, 2.31969
0.736496, 2.31973
0.73546, 2.31985
0.734914, 2.31991
0.733997, 2.32001
0.733332, 2.32008
0.732539, 2.32017
0.731749, 2.32026
0.731087, 2.32033
0.730167, 2.32043
0.729641, 2.32049
0.728585, 2.32061
0.7282, 2.32065
